Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23	Null
A0A2I8B352	Paralithodes camtschaticus	Metazoa	71	23	Null
A1BQQ5	Conus marmoreus	Metazoa	289	24	Null
A1X158	Perna viridis	Metazoa	561	20	Null
A8CG89	Daboia russelii	Metazoa	138	16	Null
B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18	Null
B3EWY1	Mesobuthus gibbosus	Metazoa	59	22	Null
B5U6Y4	Echis ocellatus	Metazoa	138	16	Null
B5U6Z2	Macrovipera lebetina transmediterranea	Metazoa	138	16	Null
B8M9H9	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006)	Fungi	358	18	Null
B8PYF3	Paspalum notatum	Viridiplantae	265	23	Null
D0UGJ0	Bothrops pauloensis	Metazoa	139	16	Null
D7UQ40	Alternaria solani	Fungi	515	25	Null
F1AWB0	Vaejovis mexicanus	Metazoa	82	22	Null
F1CGT6	Centruroides suffusus	Metazoa	82	17	Null
F7J1C8	Flammulina velutipes	Fungi	249	21	Null
G1CWH5	Clitoria ternatea	Viridiplantae	130	25	Null
G8YYA5	Androctonus amoreuxi	Metazoa	74	22	Null
G9I929	Micrurus tener tener	Metazoa	84	24	Null
I6RU32	Scolopendra mutilans	Metazoa	74	23	Null
I6S7G5	Scolopendra mutilans	Metazoa	84	16	Null
L7VIN3	Hermetia illucens	Metazoa	69	23	Null
M5AXY1	Felis catus	Metazoa	201	18	Null
O02826	Sus scrofa	Metazoa	111	20	Null
O11780	Sus scrofa	Metazoa	683	23	Null
O62680	Sus scrofa	Metazoa	123	25	Null
O93426	Crotalus durissus terrificus	Metazoa	158	23	Null
P01070	Glycine max	Viridiplantae	216	24	Null
P01177	Sus scrofa	Metazoa	125	19	Null
P01480	Androctonus australis	Metazoa	84	19	Null
P02659	Gallus gallus	Metazoa	106	24	Null
P02710	Tetronarce californica	Metazoa	461	24	Null
P02742	Oryctolagus cuniculus	Metazoa	225	20	Null
P05790	Bombyx mori	Metazoa	5263	21	Null
P06205	Limulus polyphemus	Metazoa	242	24	Null
P09465	Cricetus cricetus	Metazoa	167	16	Null
P09791	Trypanosoma brucei brucei	Discoba	129	27	Null
P0C2F4	Heterometrus laoticus	Metazoa	95	19	Null
P10762	Locusta migratoria	Metazoa	179	16	Null
P10813	Aquarana catesbeiana	Metazoa	215	25	Null
P10968	Triticum aestivum	Viridiplantae	212	26	Null
P12337	Oryctolagus cuniculus	Metazoa	565	18	Null
P13087	Synsepalum dulcificum	Viridiplantae	220	29	Null
P15478	Solanum tuberosum	Viridiplantae	386	23	Null
P16404	Erythrina corallodendron	Viridiplantae	281	26	Null
P18626	Capra hircus	Metazoa	214	15	Null
P18659	Macaca fascicularis	Metazoa	99	20	Null
P18709	Xenopus laevis	Metazoa	1807	15	Null
P18829	Schistocerca gregaria	Metazoa	63	22	Null
P19400	Ascaris suum	Metazoa	169	20	Null
P19707	Felis catus	Metazoa	129	18	Null
P20740	Gallus gallus	Metazoa	1473	36	Null
P22864	Aspergillus niger	Fungi	373	19	Null
P23502	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Amoebozoa	1286	15	Null
P25796	Cavia porcellus	Metazoa	391	19	Null
P26730	Bombyx mori	Metazoa	92	19	Null
P26776	Sus scrofa	Metazoa	153	20	Null
P27485	Sus scrofa	Metazoa	201	18	Null
P29060	Nicotiana tabacum	Viridiplantae	291	22	Null
P35807	Schistocerca nitens	Metazoa	61	22	Null
P37240	Oncorhynchus mykiss	Metazoa	147	20	Null
P38660	Mesocricetus auratus	Metazoa	439	19	Null
P41822	Aedes aegypti	Metazoa	209	27	Null
P42660	Aedes aegypti	Metazoa	471	19	Null
P56595	Canis lupus familiaris	Metazoa	88	26	Null
P56972	Pandinus imperator	Metazoa	94	19	Null
P60215	Tityus obscurus	Metazoa	86	20	Null
P60304	Naja atra	Metazoa	81	21	Null
P62375	Naja atra	Metazoa	83	21	Null
P80245	Naja atra	Metazoa	81	21	Null
P80284	Hordeum vulgare	Viridiplantae	513	25	Null
P80356	Avena sativa	Viridiplantae	220	19	Null
P81498	Suncus murinus	Metazoa	389	16	Null
P82592	Aedes aegypti	Metazoa	59	23	Null
P82966	Ophiophagus hannah	Metazoa	83	25	Null
P93543	Sambucus nigra	Viridiplantae	569	28	Null
Q00870	Fusarium solani subsp. phaseoli	Fungi	350	19	Null
Q01490	Orpinomyces sp. (strain PC-2)	Fungi	203	22	Null
Q01682	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	18	Null
Q06K77	Phlebotomus duboscqi	Metazoa	336	21	Null
Q27085	Tachypleus tridentatus	Metazoa	418	24	Null
Q2PGV8	Aureobasidium pullulans	Fungi	361	26	Null
Q3YBN2	Mesocricetus auratus	Metazoa	398	19	Null
Q4LCT0	Androctonus australis	Metazoa	80	22	Null
Q4TUA4	Olivierus martensii	Metazoa	85	19	Null
Q56EB1	Bothrops jararaca	Metazoa	155	23	Null
Q5B833	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	387	24	Null
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	18	Null
Q5I2B2	Amaranthus retroflexus	Viridiplantae	89	25	Null
Q5K0E0	Androctonus amoreuxi	Metazoa	59	22	Null
Q6H3C7	Trimeresurus stejnegeri	Metazoa	139	16	Null
Q6H3D7	Trimeresurus stejnegeri	Metazoa	137	16	Null
Q6QX33	Bothrops insularis	Metazoa	158	23	Null
Q76CE8	Typhula ishikariensis	Fungi	243	20	Null
Q7M418	Oligobrachia mashikoi	Metazoa	163	16	Null
Q7Q7R8	Anopheles gambiae	Metazoa	89	29	Null
Q7T045	Macrovipera lebetinus	Metazoa	146	23	Null
Q7T2Q0	Echis multisquamatus	Metazoa	154	26	Null
Q7T2Q1	Echis multisquamatus	Metazoa	157	23	Null
Q7YZS9	Conus virgo	Metazoa	67	26	Null
Q800A0	Aquarana catesbeiana	Metazoa	397	16	Null
Q8H6Q0	Petunia hybrida	Viridiplantae	101	25	Null
Q8H6Q1	Petunia hybrida	Viridiplantae	103	25	Null
Q8J0I9	Trichoderma harzianum	Fungi	490	28	Null
Q8JI39	Protobothrops flavoviridis	Metazoa	240	19	Null
Q8NJ73	Pyricularia grisea	Fungi	380	21	Null
Q8T0W8	Gastrophysa atrocyanea	Metazoa	65	24	Null
Q8T0Y7	Aplysia californica	Metazoa	141	26	Null
Q8UUG0	Morone saxatilis	Metazoa	79	22	Null
Q8UVZ7	Crotalus atrox	Metazoa	137	16	Null
Q8W257	Ptilota filicina	Rhodophyta	500	21	Null
Q8WPD0	Patiria pectinifera	Metazoa	168	18	Null
Q945U0	Phytophthora sojae	Sar	257	28	Null
Q95P08	Scutigera coleoptrata	Metazoa	656	18	Null
Q95WX6	Olivierus martensii	Metazoa	85	21	Null
Q9NJP7	Olivierus martensii	Metazoa	56	28	Null
Q9TRM8	Canis lupus familiaris	Metazoa	177	25	Null
Q9U3Z3	Conus betulinus	Metazoa	70	26	Null
Q9U8X3	Tachypleus tridentatus	Metazoa	67	23	Null
Q9UAC9	Olivierus martensii	Metazoa	85	19	Null
Q9YGG9	Gloydius blomhoffii	Metazoa	157	21	Null
Q9YI92	Gloydius blomhoffii	Metazoa	146	23	Null
A0A0R4I951	Scolopendra dehaani	Metazoa	70	23	Null
A1X159	Perna viridis	Metazoa	431	20	Null
B0FHH8	Manduca sexta	Metazoa	151	18	Null
B0KZK1	Acarus siro	Metazoa	517	21	Null
B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23	Null
B2KNH9	Dendrobium findlayanum	Viridiplantae	167	24	Null
C0HJQ8	Mesobuthus eupeus	Metazoa	58	21	Null
C1IC47	Walterinnesia aegyptia	Metazoa	83	21	Null
E7BLC7	Androctonus crassicauda	Metazoa	84	17	Null
E9NX73	Fagopyrum tataricum	Viridiplantae	149	22	Null
G1CWH3	Clitoria ternatea	Viridiplantae	123	28	Null
K9MCH1	Micrurus laticollaris	Metazoa	81	21	Null
O18994	Sus scrofa	Metazoa	219	21	Null
O46167	Eratigena agrestis	Metazoa	68	17	Null
O46654	Sorex araneus	Metazoa	147	20	Null
O93427	Crotalus durissus terrificus	Metazoa	148	23	Null
P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26	Null
P00991	Vipera ammodytes ammodytes	Metazoa	90	24	Null
P00992	Vipera ammodytes ammodytes	Metazoa	93	24	Null
P01086	Hordeum vulgare	Viridiplantae	148	24	Null
P01221	Cyprinus carpio	Metazoa	118	23	Null
P01295	Gallus gallus	Metazoa	164	27	Null
P01491	Centruroides sculpturatus	Metazoa	86	19	Null
P01494	Centruroides sculpturatus	Metazoa	87	19	Null
P02727	Canis lupus familiaris	Metazoa	129	17	Null
P02877	Hevea brasiliensis	Viridiplantae	204	17	Null
P04552	Haliotis rufescens	Metazoa	154	18	Null
P05099	Gallus gallus	Metazoa	493	23	Null
P06207	Limulus polyphemus	Metazoa	242	24	Null
P07597	Hordeum vulgare	Viridiplantae	117	26	Null
P08379	Locusta migratoria	Metazoa	61	22	Null
P0C1X2	Conus striatus	Metazoa	86	26	Null
P0C1Y5	Zea mays	Viridiplantae	269	30	Null
P0DQP8	Cerrophidion godmani	Metazoa	166	19	Null
P10256	Oncorhynchus keta	Metazoa	142	23	Null
P10282	Fusarium fujikuroi	Fungi	131	25	Null
P10607	Oncorhynchus kisutch	Metazoa	210	22	Null
P10673	Canis lupus familiaris	Metazoa	170	23	Null
P12420	Equus caballus	Metazoa	229	30	Null
P12725	Ovis aries	Metazoa	416	24	Null
P13744	Cucurbita maxima	Viridiplantae	480	21	Null
P14765	Ovis aries	Metazoa	97	28	Null
P15196	Oryctolagus cuniculus	Metazoa	398	31	Null
P15737	Hordeum vulgare	Viridiplantae	334	28	Null
P16611	Sus scrofa	Metazoa	293	27	Null
P17572	Meleagris gallopavo	Metazoa	229	30	Null
P18417	Catharanthus roseus	Viridiplantae	352	31	Null
P20757	Ovis aries	Metazoa	476	24	Null
P21226	Pisum sativum	Viridiplantae	324	20	Null
P21919	Gadus morhua	Metazoa	235	26	Null
P28316	Ascaris suum	Metazoa	338	18	Null
P29007	Bombina orientalis	Metazoa	155	31	Null
P30438	Felis catus	Metazoa	92	22	Null
P31854	Vipera berus berus	Metazoa	138	16	Null
P32358	Bombyx mori	Metazoa	579	15	Null
P38029	Equus caballus	Metazoa	421	24	Null
P42578	Lymnaea stagnalis	Metazoa	239	18	Null
P45662	Centruroides noxius	Metazoa	87	19	Null
P49921	Sus scrofa	Metazoa	91	23	Null
P50828	Sus scrofa	Metazoa	459	28	Null
P51925	Sparus aurata	Metazoa	85	23	Null
P52753	Cryphonectria parasitica	Fungi	118	22	Null
P60213	Tityus obscurus	Metazoa	86	20	Null
P60301	Naja atra	Metazoa	81	21	Null
P62520	Chilobrachys guangxiensis	Metazoa	63	27	Null
P80429	Salmo salar	Metazoa	691	18	Null
P81761	Hottentotta tamulus	Metazoa	62	24	Null
P82662	Ophiophagus hannah	Metazoa	91	21	Null
P82900	Triticum aestivum	Viridiplantae	96	29	Null
P83326	Actinidia deliciosa	Viridiplantae	185	32	Null
P84843	Hybomitra bimaculata	Metazoa	76	20	Null
P86405	Mesobuthus eupeus	Metazoa	86	19	Null
P86841	Clitoria ternatea	Viridiplantae	124	28	Null
Q01117	Lipomyces kononenkoae	Fungi	624	28	Null
Q03044	Didelphis virginiana	Metazoa	410	21	Null
Q08127	Anguilla anguilla	Metazoa	147	20	Null
Q16927	Aedes aegypti	Metazoa	2169	46	Null
Q1ZY03	Deinagkistrodon acutus	Metazoa	138	16	Null
Q2NME3	Tityus zulianus	Metazoa	86	20	Null
Q2PG81	Protobothrops elegans	Metazoa	137	16	Null
Q39528	Cladrastis kentukea	Viridiplantae	293	35	Null
Q3C258	Actinia equina	Metazoa	70	20	Null
Q41162	Robinia pseudoacacia	Viridiplantae	285	31	Null
Q41649	Vicia faba	Viridiplantae	151	22	Null
Q42502	Solanum tuberosum	Viridiplantae	386	23	Null
Q45Z11	Oxyuranus scutellatus scutellatus	Metazoa	83	21	Null
Q56TT9	Hottentotta judaicus	Metazoa	85	19	Null
Q5B428	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	244	23	Null
Q5KQS4	Gloydius brevicauda	Metazoa	324	19	Null
Q5WPZ4	Lutzomyia longipalpis	Metazoa	115	22	Null
Q6H3D3	Trimeresurus stejnegeri	Metazoa	138	16	Null
Q6H3D5	Trimeresurus stejnegeri	Metazoa	138	16	Null
Q75WF2	Acanthaster planci	Metazoa	358	26	Null
Q76CA2	Monoplex parthenopeus	Metazoa	275	23	Null
Q76FP5	Hypocrea rufa	Fungi	479	20	Null
Q7M413	Oligobrachia mashikoi	Metazoa	158	16	Null
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	18	Null
Q86SC0	Oryctes rhinoceros	Metazoa	66	26	Null
Q8AV98	Protobothrops flavoviridis	Metazoa	148	23	Null
Q8GTM0	Nicotiana alata	Viridiplantae	105	25	Null
Q8I7X1	Porcellio scaber	Metazoa	145	21	Null
Q8I948	Acanthoscurria gomesiana	Metazoa	156	23	Null
Q8JGT7	Protobothrops mucrosquamatus	Metazoa	158	23	Null
Q8JIY9	Protobothrops jerdonii	Metazoa	138	16	Null
Q90W22	Aquarana catesbeiana	Metazoa	114	24	Null
Q90WJ7	Takifugu pardalis	Metazoa	391	20	Null
Q94637	Oscheius tipulae	Metazoa	1648	15	Null
Q95NK7	Olivierus martensii	Metazoa	54	23	Null
Q95VF0	Epiphyas postvittana	Metazoa	164	23	Null
Q98967	Oncorhynchus keta	Metazoa	130	19	Null
Q99013	Pseudopleuronectes americanus	Metazoa	82	23	Null
Q9IAM1	Deinagkistrodon acutus	Metazoa	152	23	Null
Q9NII5	Olivierus martensii	Metazoa	58	21	Null
Q9NL38	Pinctada maxima	Metazoa	568	22	Null
Q9PW66	Bombina variegata	Metazoa	96	19	Null
Q9U8D1	Olivierus martensii	Metazoa	56	28	Null
Q9Y0Y0	Aedes albopictus	Metazoa	60	24	Null
W0HJ53	Rhizopus oryzae	Fungi	216	27	Null
A0A1S6EK91	Moringa oleifera	Viridiplantae	79	20	Null
A0A7E5WUT2	Trichoplusia ni	Metazoa	231	19	Null
B2NHN2	Talaromyces funiculosus	Fungi	339	20	Null
B7SNV8	Parabuthus granulatus	Metazoa	82	19	Null
C0HKG1	Clitoria ternatea	Viridiplantae	127	24	Null
C5J887	Opisthacanthus cayaporum	Metazoa	69	23	Null
E0XKJ9	Tabanus yao	Metazoa	349	25	Null
E7D082	Mesobuthus eupeus	Metazoa	87	19	Null
F8S0Z5	Crotalus adamanteus	Metazoa	516	18	Null
L8BRS3	Morus alba	Viridiplantae	209	18	Null
O64393	Triticum aestivum	Viridiplantae	148	23	Null
O77061	Apis mellifera	Metazoa	452	17	Null
O77541	Oryctolagus cuniculus	Metazoa	124	24	Null
P00987	Bungarus multicinctus	Metazoa	85	24	Null
P00989	Bungarus multicinctus	Metazoa	85	24	Null
P01038	Gallus gallus	Metazoa	139	23	Null
P01068	Ananas comosus	Viridiplantae	246	19	Null
P01088	Zea mays	Viridiplantae	155	28	Null
P01227	Ovis aries	Metazoa	129	19	Null
P01248	Sus scrofa	Metazoa	216	26	Null
P01335	Cyprinus carpio	Metazoa	108	21	Null
P01379	Laticauda semifasciata	Metazoa	87	21	Null
P01404	Dendroaspis angusticeps	Metazoa	81	21	Null
P01493	Centruroides sculpturatus	Metazoa	87	19	Null
P02740	Anas platyrhynchos	Metazoa	127	18	Null
P02809	Macaca fascicularis	Metazoa	61	19	Null
P02876	Triticum aestivum	Viridiplantae	213	27	Null
P06206	Limulus polyphemus	Metazoa	242	24	Null
P0C194	Opisthacanthus madagascariensis	Metazoa	63	21	Null
P0DMM8	Tityus trivittatus	Metazoa	84	20	Null
P0DQP7	Cerrophidion godmani	Metazoa	200	19	Null
P0DUS6	Doratifera vulnerans	Metazoa	60	24	Null
P11069	Lumbricus terrestris	Metazoa	170	17	Null
P12068	Sus scrofa	Metazoa	146	18	Null
P12706	Xenopus laevis	Metazoa	106	23	Null
P13389	Ovis aries	Metazoa	125	19	Null
P15228	Olivierus martensii	Metazoa	85	21	Null
P15468	Sus scrofa	Metazoa	147	28	Null
P19007	Oryctolagus cuniculus	Metazoa	347	18	Null
P19329	Phaseolus vulgaris	Viridiplantae	265	21	Null
P19594	Glycine max	Viridiplantae	158	21	Null
P19708	Canis lupus familiaris	Metazoa	129	18	Null
P20656	Saponaria officinalis	Viridiplantae	299	24	Null
P21828	Bombyx mori	Metazoa	262	16	Null
P22325	Cavia porcellus	Metazoa	405	24	Null
P22969	Equus caballus	Metazoa	182	25	Null
P23360	Thermoascus aurantiacus	Fungi	329	26	Null
P24258	Chlamydomonas reinhardtii	Viridiplantae	380	20	Null
P24476	Dianthus caryophyllus	Viridiplantae	293	23	Null
P24792	Cucurbita maxima	Viridiplantae	579	30	Null
P25033	Hyalophora cecropia	Metazoa	413	19	Null
P26732	Bombyx mori	Metazoa	92	19	Null
P31231	Pelophylax lessonae	Metazoa	420	22	Null
P33093	Macaca mulatta	Metazoa	217	26	Null
P33557	Aspergillus kawachii (strain NBRC 4308)	Fungi	211	27	Null
P34746	Oreochromis mossambicus	Metazoa	204	17	Null
P36438	Brassica rapa subsp. rapa	Viridiplantae	320	35	Null
P53543	Clarias gariepinus	Metazoa	138	21	Null
P60303	Naja kaouthia	Metazoa	81	21	Null
P69130	Oncorhynchus keta	Metazoa	211	23	Null
P69241	Raphanus sativus	Viridiplantae	80	29	Null
P70090	Craspedocephalus gramineus	Metazoa	138	16	Null
P78733	Phanerodontia chrysosporium	Fungi	380	25	Null
P79073	Hypocrea jecorina	Fungi	86	15	Null
P83371	Oncorhynchus keta	Metazoa	508	25	Null
P83636	Faxonius limosus	Metazoa	106	29	Null
P84693	Tityus obscurus	Metazoa	84	19	Null
P86403	Mesobuthus eupeus	Metazoa	85	19	Null
P86406	Mesobuthus eupeus	Metazoa	86	20	Null
Q05091	Pyrus communis	Viridiplantae	330	24	Null
Q1HAY7	Holotrichia diomphalia	Metazoa	317	23	Null
Q26239	Rhodnius prolixus	Metazoa	207	23	Null
Q27086	Tachypleus tridentatus	Metazoa	408	22	Null
Q29422	Ovis aries	Metazoa	333	20	Null
Q2U4L7	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	690	20	Null
Q2YHJ8	Craspedocephalus puniceus	Metazoa	138	16	Null
Q39487	Colocasia esculenta	Viridiplantae	267	26	Null
Q39529	Cladrastis kentukea	Viridiplantae	290	35	Null
Q5EPH2	Rhipicephalus bursa	Metazoa	97	22	Null
Q5KQS1	Gloydius blomhoffii	Metazoa	324	19	Null
Q5WPU9	Lutzomyia longipalpis	Metazoa	399	18	Null
Q696W1	Macrovipera lebetinus	Metazoa	158	23	Null
Q69CK0	Ophiophagus hannah	Metazoa	84	21	Null
Q6F495	Molineria latifolia	Viridiplantae	158	22	Null
Q6H3D4	Trimeresurus stejnegeri	Metazoa	138	16	Null
Q6H3D6	Trimeresurus stejnegeri	Metazoa	137	16	Null
Q6RG02	Penaeus merguiensis	Metazoa	2586	18	Null
Q70LM3	Phlebia radiata	Fungi	390	23	Null
Q7M419	Oligobrachia mashikoi	Metazoa	156	16	Null
Q7T1K6	Naja atra	Metazoa	239	18	Null
Q7ZT99	Crotalus atrox	Metazoa	240	19	Null
Q867F4	Androctonus australis	Metazoa	59	22	Null
Q8JFX7	Bungarus multicinctus	Metazoa	103	21	Null
Q8MP00	Aedes aegypti	Metazoa	90	27	Null
Q8T9R8	Stomoxys calcitrans	Metazoa	67	24	Null
Q8UUG2	Morone chrysops	Metazoa	79	22	Null
Q90VW1	Laticauda semifasciata	Metazoa	83	21	Null
Q94733	Rhodnius prolixus	Metazoa	202	23	Null
Q94823	Tachypleus tridentatus	Metazoa	414	22	Null
Q95NJ8	Olivierus martensii	Metazoa	55	23	Null
Q9GU69	Lymnaea stagnalis	Metazoa	64	21	Null
Q9I840	Calloselasma rhodostoma	Metazoa	146	23	Null
Q9I8P7	Malayopython reticulatus	Metazoa	201	19	Null
Q9MYV1	Canis lupus familiaris	Metazoa	128	25	Null
Q9N2D4	Callithrix jacchus	Metazoa	387	15	Null
Q9QXU1	Mesocricetus auratus	Metazoa	172	15	Null
Q9S8P4	Pisum sativum	Viridiplantae	217	20	Null
Q9YGJ0	Bungarus multicinctus	Metazoa	89	21	Null
U6A629	Penicillium canescens	Fungi	631	17	Null
W5XDM0	Macrovipera lebetinus	Metazoa	152	23	Null
O95157	Homo sapiens	Metazoa	252	22	Null
Q6UWE3	Homo sapiens	Metazoa	100	21	Null
Q6UWI4	Homo sapiens	Metazoa	295	33	Null
Q6UXB1	Homo sapiens	Metazoa	125	24	Null
Q6UW01	Homo sapiens	Metazoa	205	32	Null
Q6UWJ8	Homo sapiens	Metazoa	174	29	Null
Q6UWN8	Homo sapiens	Metazoa	80	23	Null
Q6UWY5	Homo sapiens	Metazoa	402	28	Null
Q6XE38	Homo sapiens	Metazoa	83	21	Null
Q6UW10	Homo sapiens	Metazoa	78	19	Null
Q9NRC9	Homo sapiens	Metazoa	128	17	Null
Q7Z5L0	Homo sapiens	Metazoa	202	24	Null
P01174	Rattus norvegicus	Metazoa	137	19	Null
P29392	Bos taurus	Metazoa	134	20	Null
Q28085	Bos taurus	Metazoa	1236	18	Null
Q7JZV0	Drosophila melanogaster	Metazoa	117	16	Null
Q8MJV4	Bos taurus	Metazoa	122	24	Null
Q9Z0M9	Mus musculus	Metazoa	193	28	Null
A2AEP0	Mus musculus	Metazoa	171	19	Null
A9UGV5	Oryza sativa subsp. japonica	Viridiplantae	68	30	Null
C0HL64	Drosophila melanogaster	Metazoa	105	18	Null
P01302	Bos taurus	Metazoa	131	29	Null
P15399	Rattus norvegicus	Metazoa	177	17	Null
P46169	Bos taurus	Metazoa	60	22	Null
Q0IQK9	Oryza sativa subsp. japonica	Viridiplantae	116	25	Null
Q27967	Bos taurus	Metazoa	203	23	Null
C0HL62	Drosophila melanogaster	Metazoa	104	18	Null
D3Z9M3	Rattus norvegicus	Metazoa	109	16	Null
O62644	Bos taurus	Metazoa	151	18	Null
P01633	Mus musculus	Metazoa	149	29	Null
P07728	Oryza sativa subsp. japonica	Viridiplantae	499	24	Null
Q10ST8	Oryza sativa subsp. japonica	Viridiplantae	96	27	Null
Q2KJF1	Bos taurus	Metazoa	503	21	Null
Q6ASY2	Oryza sativa subsp. japonica	Viridiplantae	178	26	Null
Q942A7	Oryza sativa subsp. japonica	Viridiplantae	235	27	Null
Q9M069	Arabidopsis thaliana	Viridiplantae	504	22	Null
Q9XFS7	Arabidopsis thaliana	Viridiplantae	118	25	Null
A9UGV7	Oryza sativa subsp. japonica	Viridiplantae	63	26	Null
P09586	Mus musculus	Metazoa	222	31	Null
P29421	Oryza sativa subsp. japonica	Viridiplantae	200	22	Null
P55955	Caenorhabditis elegans	Metazoa	132	19	Null
Q653V7	Oryza sativa subsp. japonica	Viridiplantae	885	33	Null
Q6Z232	Oryza sativa subsp. japonica	Viridiplantae	146	42	Null
A9UGV6	Oryza sativa subsp. japonica	Viridiplantae	61	26	Null
C0HL63	Drosophila melanogaster	Metazoa	104	18	Null
C0HL65	Drosophila melanogaster	Metazoa	105	18	Null
P02782	Rattus norvegicus	Metazoa	111	23	Null
P05367	Mus musculus	Metazoa	122	19	Null
P15270	Dictyostelium discoideum	Amoebozoa	424	23	Null
P25068	Bos taurus	Metazoa	64	26	Null
P39873	Bos taurus	Metazoa	167	26	Null
P81623	Bos taurus	Metazoa	258	29	Null
P82943	Bos taurus	Metazoa	92	21	Null
Q20224	Caenorhabditis elegans	Metazoa	161	19	Null
Q6YZY5	Oryza sativa subsp. japonica	Viridiplantae	224	22	Null
A0A023W140	Ethmostigmus rubripes	Metazoa	88	24	Null
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24	Null
A0A1W6EVN2	Ampulex compressa	Metazoa	50	26	Null
A0A3N2PQC3	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11)	Fungi	99	26	Null
A7VN14	Protobothrops flavoviridis	Metazoa	109	19	Null
B3EWG0	Penaeus monodon	Metazoa	93	21	Null
B9A8D7	Crassostrea virginica	Metazoa	85	18	Null
C0STK8	Elaphe climacophora	Metazoa	202	19	Null
C1IC52	Walterinnesia aegyptia	Metazoa	81	24	Null
C1IC53	Walterinnesia aegyptia	Metazoa	83	24	Null
I7ICN3	Bitis rhinoceros	Metazoa	150	23	Null
O00105	Aspergillus niger	Fungi	564	19	Null
O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29	Null
O62605	Galleria mellonella	Metazoa	218	16	Null
P00652	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	Fungi	132	26	Null
P01226	Equus caballus	Metazoa	129	18	Null
P01299	Canis lupus familiaris	Metazoa	93	29	Null
P01307	Sus scrofa	Metazoa	119	25	Null
P01477	Crotalus helleri	Metazoa	70	22	Null
P01479	Androctonus australis	Metazoa	83	19	Null
P01538	Viscum album	Viridiplantae	111	26	Null
P02883	Thaumatococcus daniellii	Viridiplantae	235	22	Null
P04706	Zea mays	Viridiplantae	223	19	Null
P07479	Sagittaria sagittifolia	Viridiplantae	181	24	Null
P07529	Naganishia albida	Fungi	332	21	Null
P07712	Aplysia californica	Metazoa	112	23	Null
P0C292	Androctonus crassicauda	Metazoa	80	22	Null
P0DL40	Vespa magnifica	Metazoa	67	21	Null
P0DPT6	Scolopendra dehaani	Metazoa	76	23	Null
P0DPU1	Scolopendra dehaani	Metazoa	210	23	Null
P0DPU8	Scolopendra dehaani	Metazoa	105	24	Null
P0DQB8	Scolopendra dehaani	Metazoa	73	20	Null
P0DSJ6	Myrmecia gulosa	Metazoa	62	24	Null
P10456	Laticauda colubrina	Metazoa	83	21	Null
P10675	Schistocerca americana	Metazoa	662	24	Null
P11643	Hordeum vulgare	Viridiplantae	171	24	Null
P12992	Heliothis virescens	Metazoa	564	19	Null
P13691	Hordeum vulgare	Viridiplantae	152	30	Null
P14133	Cucumis sativus	Viridiplantae	587	33	Null
P14170	Nicotiana tabacum	Viridiplantae	246	21	Null
P15223	Centruroides noxius	Metazoa	86	19	Null
P16030	Bauhinia purpurea	Viridiplantae	290	28	Null
P16159	Triticum aestivum	Viridiplantae	143	24	Null
P18959	Manduca sexta	Metazoa	168	26	Null
P19656	Zea mays	Viridiplantae	120	27	Null
P20462	Notamacropus eugenii	Metazoa	176	18	Null
P22297	Manduca sexta	Metazoa	681	18	Null
P26203	Oryctolagus cuniculus	Metazoa	137	20	Null
P27275	Amaranthus caudatus	Viridiplantae	86	25	Null
P27559	Saponaria officinalis	Viridiplantae	292	24	Null
P31418	Manduca sexta	Metazoa	166	22	Null
P42254	Aspergillus niger	Fungi	628	25	Null
P43077	Candida albicans	Fungi	562	22	Null
P43306	Clarias gariepinus	Metazoa	86	24	Null
P50694	Prunus avium	Viridiplantae	245	23	Null
P55320	Homarus americanus	Metazoa	112	31	Null
P80391	Meleagris gallopavo	Metazoa	65	25	Null
P80961	Myoxocephalus octodecemspinosus	Metazoa	128	20	Null
P81025	Oreochromis niloticus	Metazoa	113	24	Null
P81370	Actinidia deliciosa	Viridiplantae	225	24	Null
