Accession	Organism	Kingdom	Sequence length	SP cleavage
P80356	220	1	19	Avena sativa	Viridiplantae
P81498	389	1	16	Suncus murinus	Metazoa
P82592	59	1	23	Aedes aegypti	Metazoa
P82966	83	1	25	Ophiophagus hannah	Metazoa
P93543	569	1	28	Sambucus nigra	Viridiplantae
Q00870	350	1	19	Fusarium solani subsp. phaseoli	Fungi
Q01490	203	1	22	Orpinomyces sp. (strain PC-2)	Fungi
Q01682	463	1	18	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi
Q06K77	336	1	21	Phlebotomus duboscqi	Metazoa
Q27085	418	1	24	Tachypleus tridentatus	Metazoa
Q2PGV8	361	1	26	Aureobasidium pullulans	Fungi
Q3YBN2	398	1	19	Mesocricetus auratus	Metazoa
Q4LCT0	80	1	22	Androctonus australis	Metazoa
Q4TUA4	85	1	19	Olivierus martensii	Metazoa
Q56EB1	155	1	23	Bothrops jararaca	Metazoa
Q5B833	387	1	24	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi
Q5BGU9	366	1	18	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi
Q5I2B2	89	1	25	Amaranthus retroflexus	Viridiplantae
Q5K0E0	59	1	22	Androctonus amoreuxi	Metazoa
Q6H3C7	139	1	16	Trimeresurus stejnegeri	Metazoa
Q6H3D7	137	1	16	Trimeresurus stejnegeri	Metazoa
Q6QX33	158	1	23	Bothrops insularis	Metazoa
Q76CE8	243	1	20	Typhula ishikariensis	Fungi
Q7M418	163	1	16	Oligobrachia mashikoi	Metazoa
Q7Q7R8	89	1	29	Anopheles gambiae	Metazoa
Q7T045	146	1	23	Macrovipera lebetinus	Metazoa
Q7T2Q0	154	1	26	Echis multisquamatus	Metazoa
Q7T2Q1	157	1	23	Echis multisquamatus	Metazoa
Q7YZS9	67	1	26	Conus virgo	Metazoa
Q800A0	397	1	16	Aquarana catesbeiana	Metazoa
Q8H6Q0	101	1	25	Petunia hybrida	Viridiplantae
Q8H6Q1	103	1	25	Petunia hybrida	Viridiplantae
Q8J0I9	490	1	28	Trichoderma harzianum	Fungi
Q8JI39	240	1	19	Protobothrops flavoviridis	Metazoa
Q8NJ73	380	1	21	Pyricularia grisea	Fungi
Q8T0W8	65	1	24	Gastrophysa atrocyanea	Metazoa
Q8T0Y7	141	1	26	Aplysia californica	Metazoa
Q8UUG0	79	1	22	Morone saxatilis	Metazoa
Q8UVZ7	137	1	16	Crotalus atrox	Metazoa
Q8W257	500	1	21	Ptilota filicina	Rhodophyta
Q8WPD0	168	1	18	Patiria pectinifera	Metazoa
Q945U0	257	1	28	Phytophthora sojae	Sar
Q95P08	656	1	18	Scutigera coleoptrata	Metazoa
Q95WX6	85	1	21	Olivierus martensii	Metazoa
Q9NJP7	56	1	28	Olivierus martensii	Metazoa
Q9TRM8	177	1	25	Canis lupus familiaris	Metazoa
Q9U3Z3	70	1	26	Conus betulinus	Metazoa
Q9U8X3	67	1	23	Tachypleus tridentatus	Metazoa
Q9UAC9	85	1	19	Olivierus martensii	Metazoa
Q9YGG9	157	1	21	Gloydius blomhoffii	Metazoa
Q9YI92	146	1	23	Gloydius blomhoffii	Metazoa
A0A0R4I951	70	1	23	Scolopendra dehaani	Metazoa
A1X159	431	1	20	Perna viridis	Metazoa
B0FHH8	151	1	18	Manduca sexta	Metazoa
B0KZK1	517	1	21	Acarus siro	Metazoa
B1P0S1	218	1	23	Pseudopleuronectes americanus	Metazoa
B2KNH9	167	1	24	Dendrobium findlayanum	Viridiplantae
C0HJQ8	58	1	21	Mesobuthus eupeus	Metazoa
C1IC47	83	1	21	Walterinnesia aegyptia	Metazoa
E7BLC7	84	1	17	Androctonus crassicauda	Metazoa
E9NX73	149	1	22	Fagopyrum tataricum	Viridiplantae
G1CWH3	123	1	28	Clitoria ternatea	Viridiplantae
K9MCH1	81	1	21	Micrurus laticollaris	Metazoa
O18994	219	1	21	Sus scrofa	Metazoa
O46167	68	1	17	Eratigena agrestis	Metazoa
O46654	147	1	20	Sorex araneus	Metazoa
O93427	148	1	23	Crotalus durissus terrificus	Metazoa
P00651	130	1	26	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi
P00991	90	1	24	Vipera ammodytes ammodytes	Metazoa
P00992	93	1	24	Vipera ammodytes ammodytes	Metazoa
P01086	148	1	24	Hordeum vulgare	Viridiplantae
P01221	118	1	23	Cyprinus carpio	Metazoa
P01295	164	1	27	Gallus gallus	Metazoa
P01491	86	1	19	Centruroides sculpturatus	Metazoa
P01494	87	1	19	Centruroides sculpturatus	Metazoa
P02727	129	1	17	Canis lupus familiaris	Metazoa
P02877	204	1	17	Hevea brasiliensis	Viridiplantae
P04552	154	1	18	Haliotis rufescens	Metazoa
P05099	493	1	23	Gallus gallus	Metazoa
P06207	242	1	24	Limulus polyphemus	Metazoa
P07597	117	1	26	Hordeum vulgare	Viridiplantae
P08379	61	1	22	Locusta migratoria	Metazoa
P0C1X2	86	1	26	Conus striatus	Metazoa
P0C1Y5	269	1	30	Zea mays	Viridiplantae
P0DQP8	166	1	19	Cerrophidion godmani	Metazoa
P10256	142	1	23	Oncorhynchus keta	Metazoa
P10282	131	1	25	Fusarium fujikuroi	Fungi
P10607	210	1	22	Oncorhynchus kisutch	Metazoa
P10673	170	1	23	Canis lupus familiaris	Metazoa
P12420	229	1	30	Equus caballus	Metazoa
P12725	416	1	24	Ovis aries	Metazoa
P13744	480	1	21	Cucurbita maxima	Viridiplantae
P14765	97	1	28	Ovis aries	Metazoa
P15196	398	1	31	Oryctolagus cuniculus	Metazoa
P15737	334	1	28	Hordeum vulgare	Viridiplantae
P16611	293	1	27	Sus scrofa	Metazoa
P17572	229	1	30	Meleagris gallopavo	Metazoa
P18417	352	1	31	Catharanthus roseus	Viridiplantae
P20757	476	1	24	Ovis aries	Metazoa
P21226	324	1	20	Pisum sativum	Viridiplantae
P21919	235	1	26	Gadus morhua	Metazoa
P28316	338	1	18	Ascaris suum	Metazoa
P29007	155	1	31	Bombina orientalis	Metazoa
P30438	92	1	22	Felis catus	Metazoa
P31854	138	1	16	Vipera berus berus	Metazoa
P32358	579	1	15	Bombyx mori	Metazoa
P38029	421	1	24	Equus caballus	Metazoa
P42578	239	1	18	Lymnaea stagnalis	Metazoa
P45662	87	1	19	Centruroides noxius	Metazoa
P49921	91	1	23	Sus scrofa	Metazoa
P50828	459	1	28	Sus scrofa	Metazoa
P51925	85	1	23	Sparus aurata	Metazoa
P52753	118	1	22	Cryphonectria parasitica	Fungi
P60213	86	1	20	Tityus obscurus	Metazoa
P60301	81	1	21	Naja atra	Metazoa
P62520	63	1	27	Chilobrachys guangxiensis	Metazoa
P80429	691	1	18	Salmo salar	Metazoa
P81761	62	1	24	Hottentotta tamulus	Metazoa
P82662	91	1	21	Ophiophagus hannah	Metazoa
P82900	96	1	29	Triticum aestivum	Viridiplantae
P83326	185	1	32	Actinidia deliciosa	Viridiplantae
P84843	76	1	20	Hybomitra bimaculata	Metazoa
P86405	86	1	19	Mesobuthus eupeus	Metazoa
P86841	124	1	28	Clitoria ternatea	Viridiplantae
Q01117	624	1	28	Lipomyces kononenkoae	Fungi
Q03044	410	1	21	Didelphis virginiana	Metazoa
Q08127	147	1	20	Anguilla anguilla	Metazoa
Q16927	2169	1	46	Aedes aegypti	Metazoa
Q1ZY03	138	1	16	Deinagkistrodon acutus	Metazoa
Q2NME3	86	1	20	Tityus zulianus	Metazoa
Q2PG81	137	1	16	Protobothrops elegans	Metazoa
Q39528	293	1	35	Cladrastis kentukea	Viridiplantae
Q3C258	70	1	20	Actinia equina	Metazoa
Q41162	285	1	31	Robinia pseudoacacia	Viridiplantae
Q41649	151	1	22	Vicia faba	Viridiplantae
Q42502	386	1	23	Solanum tuberosum	Viridiplantae
Q45Z11	83	1	21	Oxyuranus scutellatus scutellatus	Metazoa
Q56TT9	85	1	19	Hottentotta judaicus	Metazoa
Q5B428	244	1	23	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi
Q5KQS4	324	1	19	Gloydius brevicauda	Metazoa
Q5WPZ4	115	1	22	Lutzomyia longipalpis	Metazoa
Q6H3D3	138	1	16	Trimeresurus stejnegeri	Metazoa
Q6H3D5	138	1	16	Trimeresurus stejnegeri	Metazoa
Q75WF2	358	1	26	Acanthaster planci	Metazoa
Q76CA2	275	1	23	Monoplex parthenopeus	Metazoa
Q76FP5	479	1	20	Hypocrea rufa	Fungi
Q7M413	158	1	16	Oligobrachia mashikoi	Metazoa
Q7SCE9	385	1	18	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi
Q86SC0	66	1	26	Oryctes rhinoceros	Metazoa
Q8AV98	148	1	23	Protobothrops flavoviridis	Metazoa
Q8GTM0	105	1	25	Nicotiana alata	Viridiplantae
Q8I7X1	145	1	21	Porcellio scaber	Metazoa
Q8I948	156	1	23	Acanthoscurria gomesiana	Metazoa
Q8JGT7	158	1	23	Protobothrops mucrosquamatus	Metazoa
Q8JIY9	138	1	16	Protobothrops jerdonii	Metazoa
Q90W22	114	1	24	Aquarana catesbeiana	Metazoa
Q90WJ7	391	1	20	Takifugu pardalis	Metazoa
Q94637	1648	1	15	Oscheius tipulae	Metazoa
Q95NK7	54	1	23	Olivierus martensii	Metazoa
Q95VF0	164	1	23	Epiphyas postvittana	Metazoa
Q98967	130	1	19	Oncorhynchus keta	Metazoa
Q99013	82	1	23	Pseudopleuronectes americanus	Metazoa
Q9IAM1	152	1	23	Deinagkistrodon acutus	Metazoa
Q9NII5	58	1	21	Olivierus martensii	Metazoa
Q9NL38	568	1	22	Pinctada maxima	Metazoa
Q9PW66	96	1	19	Bombina variegata	Metazoa
Q9U8D1	56	1	28	Olivierus martensii	Metazoa
Q9Y0Y0	60	1	24	Aedes albopictus	Metazoa
W0HJ53	216	1	27	Rhizopus oryzae	Fungi
A0A1S6EK91	79	1	20	Moringa oleifera	Viridiplantae
A0A7E5WUT2	231	1	19	Trichoplusia ni	Metazoa
B2NHN2	339	1	20	Talaromyces funiculosus	Fungi
B7SNV8	82	1	19	Parabuthus granulatus	Metazoa
C0HKG1	127	1	24	Clitoria ternatea	Viridiplantae
C5J887	69	1	23	Opisthacanthus cayaporum	Metazoa
E0XKJ9	349	1	25	Tabanus yao	Metazoa
E7D082	87	1	19	Mesobuthus eupeus	Metazoa
F8S0Z5	516	1	18	Crotalus adamanteus	Metazoa
L8BRS3	209	1	18	Morus alba	Viridiplantae
O64393	148	1	23	Triticum aestivum	Viridiplantae
O77061	452	1	17	Apis mellifera	Metazoa
O77541	124	1	24	Oryctolagus cuniculus	Metazoa
P00987	85	1	24	Bungarus multicinctus	Metazoa
P00989	85	1	24	Bungarus multicinctus	Metazoa
P01038	139	1	23	Gallus gallus	Metazoa
P01068	246	1	19	Ananas comosus	Viridiplantae
P01088	155	1	28	Zea mays	Viridiplantae
P01227	129	1	19	Ovis aries	Metazoa
P01248	216	1	26	Sus scrofa	Metazoa
P01335	108	1	21	Cyprinus carpio	Metazoa
P01379	87	1	21	Laticauda semifasciata	Metazoa
P01404	81	1	21	Dendroaspis angusticeps	Metazoa
P01493	87	1	19	Centruroides sculpturatus	Metazoa
P02740	127	1	18	Anas platyrhynchos	Metazoa
P02809	61	1	19	Macaca fascicularis	Metazoa
P02876	213	1	27	Triticum aestivum	Viridiplantae
P06206	242	1	24	Limulus polyphemus	Metazoa
P0C194	63	1	21	Opisthacanthus madagascariensis	Metazoa
P0DMM8	84	1	20	Tityus trivittatus	Metazoa
P0DQP7	200	1	19	Cerrophidion godmani	Metazoa
P0DUS6	60	1	24	Doratifera vulnerans	Metazoa
P11069	170	1	17	Lumbricus terrestris	Metazoa
P12068	146	1	18	Sus scrofa	Metazoa
P12706	106	1	23	Xenopus laevis	Metazoa
P13389	125	1	19	Ovis aries	Metazoa
P15228	85	1	21	Olivierus martensii	Metazoa
P15468	147	1	28	Sus scrofa	Metazoa
P19007	347	1	18	Oryctolagus cuniculus	Metazoa
P19329	265	1	21	Phaseolus vulgaris	Viridiplantae
P19594	158	1	21	Glycine max	Viridiplantae
P19708	129	1	18	Canis lupus familiaris	Metazoa
P20656	299	1	24	Saponaria officinalis	Viridiplantae
P21828	262	1	16	Bombyx mori	Metazoa
P22325	405	1	24	Cavia porcellus	Metazoa
P22969	182	1	25	Equus caballus	Metazoa
P23360	329	1	26	Thermoascus aurantiacus	Fungi
P24258	380	1	20	Chlamydomonas reinhardtii	Viridiplantae
P24476	293	1	23	Dianthus caryophyllus	Viridiplantae
P24792	579	1	30	Cucurbita maxima	Viridiplantae
P25033	413	1	19	Hyalophora cecropia	Metazoa
P26732	92	1	19	Bombyx mori	Metazoa
P31231	420	1	22	Pelophylax lessonae	Metazoa
P33093	217	1	26	Macaca mulatta	Metazoa
P33557	211	1	27	Aspergillus kawachii (strain NBRC 4308)	Fungi
P34746	204	1	17	Oreochromis mossambicus	Metazoa
P36438	320	1	35	Brassica rapa subsp. rapa	Viridiplantae
P53543	138	1	21	Clarias gariepinus	Metazoa
P60303	81	1	21	Naja kaouthia	Metazoa
P69130	211	1	23	Oncorhynchus keta	Metazoa
P69241	80	1	29	Raphanus sativus	Viridiplantae
P70090	138	1	16	Craspedocephalus gramineus	Metazoa
P78733	380	1	25	Phanerodontia chrysosporium	Fungi
P79073	86	1	15	Hypocrea jecorina	Fungi
P83371	508	1	25	Oncorhynchus keta	Metazoa
P83636	106	1	29	Faxonius limosus	Metazoa
P84693	84	1	19	Tityus obscurus	Metazoa
P86403	85	1	19	Mesobuthus eupeus	Metazoa
P86406	86	1	20	Mesobuthus eupeus	Metazoa
Q05091	330	1	24	Pyrus communis	Viridiplantae
Q1HAY7	317	1	23	Holotrichia diomphalia	Metazoa
Q26239	207	1	23	Rhodnius prolixus	Metazoa
Q27086	408	1	22	Tachypleus tridentatus	Metazoa
Q29422	333	1	20	Ovis aries	Metazoa
Q2U4L7	690	1	20	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi
Q2YHJ8	138	1	16	Craspedocephalus puniceus	Metazoa
Q39487	267	1	26	Colocasia esculenta	Viridiplantae
Q39529	290	1	35	Cladrastis kentukea	Viridiplantae
Q5EPH2	97	1	22	Rhipicephalus bursa	Metazoa
Q5KQS1	324	1	19	Gloydius blomhoffii	Metazoa
Q5WPU9	399	1	18	Lutzomyia longipalpis	Metazoa
Q696W1	158	1	23	Macrovipera lebetinus	Metazoa
Q69CK0	84	1	21	Ophiophagus hannah	Metazoa
Q6F495	158	1	22	Molineria latifolia	Viridiplantae
Q6H3D4	138	1	16	Trimeresurus stejnegeri	Metazoa
Q6H3D6	137	1	16	Trimeresurus stejnegeri	Metazoa
Q6RG02	2586	1	18	Penaeus merguiensis	Metazoa
Q70LM3	390	1	23	Phlebia radiata	Fungi
Q7M419	156	1	16	Oligobrachia mashikoi	Metazoa
Q7T1K6	239	1	18	Naja atra	Metazoa
Q7ZT99	240	1	19	Crotalus atrox	Metazoa
Q867F4	59	1	22	Androctonus australis	Metazoa
Q8JFX7	103	1	21	Bungarus multicinctus	Metazoa
Q8MP00	90	1	27	Aedes aegypti	Metazoa
Q8T9R8	67	1	24	Stomoxys calcitrans	Metazoa
Q8UUG2	79	1	22	Morone chrysops	Metazoa
Q90VW1	83	1	21	Laticauda semifasciata	Metazoa
Q94733	202	1	23	Rhodnius prolixus	Metazoa
Q94823	414	1	22	Tachypleus tridentatus	Metazoa
Q95NJ8	55	1	23	Olivierus martensii	Metazoa
Q9GU69	64	1	21	Lymnaea stagnalis	Metazoa
Q9I840	146	1	23	Calloselasma rhodostoma	Metazoa
Q9I8P7	201	1	19	Malayopython reticulatus	Metazoa
Q9MYV1	128	1	25	Canis lupus familiaris	Metazoa
Q9N2D4	387	1	15	Callithrix jacchus	Metazoa
Q9QXU1	172	1	15	Mesocricetus auratus	Metazoa
Q9S8P4	217	1	20	Pisum sativum	Viridiplantae
Q9YGJ0	89	1	21	Bungarus multicinctus	Metazoa
U6A629	631	1	17	Penicillium canescens	Fungi
W5XDM0	152	1	23	Macrovipera lebetinus	Metazoa
O95157	252	1	22	Homo sapiens	Metazoa
Q6UWE3	100	1	21	Homo sapiens	Metazoa
Q6UWI4	295	1	33	Homo sapiens	Metazoa
Q6UXB1	125	1	24	Homo sapiens	Metazoa
Q6UW01	205	1	32	Homo sapiens	Metazoa
Q6UWJ8	174	1	29	Homo sapiens	Metazoa
Q6UWN8	80	1	23	Homo sapiens	Metazoa
Q6UWY5	402	1	28	Homo sapiens	Metazoa
Q6XE38	83	1	21	Homo sapiens	Metazoa
Q6UW10	78	1	19	Homo sapiens	Metazoa
Q9NRC9	128	1	17	Homo sapiens	Metazoa
Q7Z5L0	202	1	24	Homo sapiens	Metazoa
P01174	137	1	19	Rattus norvegicus	Metazoa
P29392	134	1	20	Bos taurus	Metazoa
Q28085	1236	1	18	Bos taurus	Metazoa
Q7JZV0	117	1	16	Drosophila melanogaster	Metazoa
Q8MJV4	122	1	24	Bos taurus	Metazoa
Q9Z0M9	193	1	28	Mus musculus	Metazoa
A2AEP0	171	1	19	Mus musculus	Metazoa
A9UGV5	68	1	30	Oryza sativa subsp. japonica	Viridiplantae
C0HL64	105	1	18	Drosophila melanogaster	Metazoa
P01302	131	1	29	Bos taurus	Metazoa
P15399	177	1	17	Rattus norvegicus	Metazoa
P46169	60	1	22	Bos taurus	Metazoa
Q0IQK9	116	1	25	Oryza sativa subsp. japonica	Viridiplantae
Q27967	203	1	23	Bos taurus	Metazoa
C0HL62	104	1	18	Drosophila melanogaster	Metazoa
D3Z9M3	109	1	16	Rattus norvegicus	Metazoa
O62644	151	1	18	Bos taurus	Metazoa
P01633	149	1	29	Mus musculus	Metazoa
P07728	499	1	24	Oryza sativa subsp. japonica	Viridiplantae
Q10ST8	96	1	27	Oryza sativa subsp. japonica	Viridiplantae
Q2KJF1	503	1	21	Bos taurus	Metazoa
Q6ASY2	178	1	26	Oryza sativa subsp. japonica	Viridiplantae
Q942A7	235	1	27	Oryza sativa subsp. japonica	Viridiplantae
Q9M069	504	1	22	Arabidopsis thaliana	Viridiplantae
Q9XFS7	118	1	25	Arabidopsis thaliana	Viridiplantae
A9UGV7	63	1	26	Oryza sativa subsp. japonica	Viridiplantae
P09586	222	1	31	Mus musculus	Metazoa
P29421	200	1	22	Oryza sativa subsp. japonica	Viridiplantae
P55955	132	1	19	Caenorhabditis elegans	Metazoa
Q653V7	885	1	33	Oryza sativa subsp. japonica	Viridiplantae
Q6Z232	146	1	42	Oryza sativa subsp. japonica	Viridiplantae
A9UGV6	61	1	26	Oryza sativa subsp. japonica	Viridiplantae
C0HL63	104	1	18	Drosophila melanogaster	Metazoa
C0HL65	105	1	18	Drosophila melanogaster	Metazoa
P02782	111	1	23	Rattus norvegicus	Metazoa
P05367	122	1	19	Mus musculus	Metazoa
P15270	424	1	23	Dictyostelium discoideum	Amoebozoa
P25068	64	1	26	Bos taurus	Metazoa
P39873	167	1	26	Bos taurus	Metazoa
P81623	258	1	29	Bos taurus	Metazoa
P82943	92	1	21	Bos taurus	Metazoa
Q20224	161	1	19	Caenorhabditis elegans	Metazoa
Q6YZY5	224	1	22	Oryza sativa subsp. japonica	Viridiplantae
A0A023W140	88	1	24	Ethmostigmus rubripes	Metazoa
A0A023W145	88	1	24	Ethmostigmus rubripes	Metazoa
A0A1W6EVN2	50	1	26	Ampulex compressa	Metazoa
A0A3N2PQC3	99	1	26	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11)	Fungi
A7VN14	109	1	19	Protobothrops flavoviridis	Metazoa
B3EWG0	93	1	21	Penaeus monodon	Metazoa
B9A8D7	85	1	18	Crassostrea virginica	Metazoa
C0STK8	202	1	19	Elaphe climacophora	Metazoa
C1IC52	81	1	24	Walterinnesia aegyptia	Metazoa
C1IC53	83	1	24	Walterinnesia aegyptia	Metazoa
I7ICN3	150	1	23	Bitis rhinoceros	Metazoa
O00105	564	1	19	Aspergillus niger	Fungi
O14412	245	1	29	Orpinomyces sp. (strain PC-2)	Fungi
O62605	218	1	16	Galleria mellonella	Metazoa
P00652	132	1	26	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	Fungi
P01226	129	1	18	Equus caballus	Metazoa
P01299	93	1	29	Canis lupus familiaris	Metazoa
P01307	119	1	25	Sus scrofa	Metazoa
P01477	70	1	22	Crotalus helleri	Metazoa
P01479	83	1	19	Androctonus australis	Metazoa
P01538	111	1	26	Viscum album	Viridiplantae
P02883	235	1	22	Thaumatococcus daniellii	Viridiplantae
P04706	223	1	19	Zea mays	Viridiplantae
P07479	181	1	24	Sagittaria sagittifolia	Viridiplantae
P07529	332	1	21	Naganishia albida	Fungi
P07712	112	1	23	Aplysia californica	Metazoa
P0C292	80	1	22	Androctonus crassicauda	Metazoa
P0DL40	67	1	21	Vespa magnifica	Metazoa
P0DPT6	76	1	23	Scolopendra dehaani	Metazoa
P0DPU1	210	1	23	Scolopendra dehaani	Metazoa
P0DPU8	105	1	24	Scolopendra dehaani	Metazoa
P0DQB8	73	1	20	Scolopendra dehaani	Metazoa
P0DSJ6	62	1	24	Myrmecia gulosa	Metazoa
P10456	83	1	21	Laticauda colubrina	Metazoa
P10675	662	1	24	Schistocerca americana	Metazoa
P11643	171	1	24	Hordeum vulgare	Viridiplantae
P12992	564	1	19	Heliothis virescens	Metazoa
P13691	152	1	30	Hordeum vulgare	Viridiplantae
P14133	587	1	33	Cucumis sativus	Viridiplantae
P14170	246	1	21	Nicotiana tabacum	Viridiplantae
P15223	86	1	19	Centruroides noxius	Metazoa
P16030	290	1	28	Bauhinia purpurea	Viridiplantae
P16159	143	1	24	Triticum aestivum	Viridiplantae
P18959	168	1	26	Manduca sexta	Metazoa
P19656	120	1	27	Zea mays	Viridiplantae
P20462	176	1	18	Notamacropus eugenii	Metazoa
P22297	681	1	18	Manduca sexta	Metazoa
P26203	137	1	20	Oryctolagus cuniculus	Metazoa
P27275	86	1	25	Amaranthus caudatus	Viridiplantae
P27559	292	1	24	Saponaria officinalis	Viridiplantae
P31418	166	1	22	Manduca sexta	Metazoa
P42254	628	1	25	Aspergillus niger	Fungi
P43077	562	1	22	Candida albicans	Fungi
P43306	86	1	24	Clarias gariepinus	Metazoa
P50694	245	1	23	Prunus avium	Viridiplantae
P55320	112	1	31	Homarus americanus	Metazoa
P80391	65	1	25	Meleagris gallopavo	Metazoa
P80961	128	1	20	Myoxocephalus octodecemspinosus	Metazoa
P81025	113	1	24	Oreochromis niloticus	Metazoa
P81370	225	1	24	Actinidia deliciosa	Viridiplantae
P81417	59	1	23	Aedes albopictus	Metazoa
P81999	358	1	22	Canis lupus familiaris	Metazoa
P82143	200	1	19	Gloydius brevicaudus siniticus	Metazoa
P83234	190	1	20	Ophiophagus hannah	Metazoa
P83880	105	1	26	Pinus monticola	Viridiplantae
P83958	225	1	24	Actinidia chinensis var. chinensis	Viridiplantae
P86473	322	1	21	Actinidia chinensis var. chinensis	Viridiplantae
P86797	142	1	19	Cupiennius salei	Metazoa
P86929	73	1	14	Metaphire guillelmi	Metazoa
P98184	282	1	21	Bryonia dioica	Viridiplantae
Q00945	155	1	26	Lymnaea stagnalis	Metazoa
Q02126	330	1	25	Hordeum vulgare	Viridiplantae
Q04672	524	1	29	Glycine max	Viridiplantae
Q04791	557	1	25	Anas platyrhynchos	Metazoa
Q06575	196	1	23	Tamias sibiricus	Metazoa
Q06K53	399	1	18	Phlebotomus duboscqi	Metazoa
Q06KA2	249	1	19	Phlebotomus duboscqi	Metazoa
Q07558	84	1	20	Hirudinaria manillensis	Metazoa
Q08738	239	1	16	Bombyx mori	Metazoa
Q09117	312	1	24	Populus deltoides	Viridiplantae
Q17043	556	1	19	Aplysia kurodai	Metazoa
Q17128	72	1	21	Blaberus discoidalis	Metazoa
Q24824	96	1	19	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Amoebozoa
Q25589	135	1	26	Faxonius limosus	Metazoa
Q26427	267	1	16	Galleria mellonella	Metazoa
Q29143	102	1	20	Trichosurus vulpecula	Metazoa
Q29381	439	1	25	Sus scrofa	Metazoa
Q4WZ11	87	1	19	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi
Q5FZI5	144	1	23	Protobothrops mucrosquamatus	Metazoa
Q5MIW7	332	1	21	Aedes albopictus	Metazoa
Q6T6T4	140	1	26	Bitis gabonica	Metazoa
Q7ZT98	239	1	18	Ophiophagus hannah	Metazoa
Q8JFQ0	96	1	19	Bombina maxima	Metazoa
Q8MI35	152	1	32	Sus scrofa	Metazoa
Q8MMG9	585	1	32	Pimpla hypochondriaca	Metazoa
Q8MVA6	69	1	23	Ixodes scapularis	Metazoa
Q8T4J9	180	1	15	Manduca sexta	Metazoa
Q8WQK0	65	1	23	Cotesia rubecula	Metazoa
Q90ZY0	68	1	22	Pseudopleuronectes americanus	Metazoa
Q95VE9	164	1	23	Epiphyas postvittana	Metazoa
Q965E2	143	1	17	Psoroptes ovis	Metazoa
Q96X54	628	1	25	Aspergillus awamori	Fungi
Q99MG7	172	1	16	Mesocricetus auratus	Metazoa
Q9BKB4	54	1	23	Olivierus martensii	Metazoa
Q9DEA2	155	1	23	Deinagkistrodon acutus	Metazoa
Q9PVW8	308	1	23	Silurus asotus	Metazoa
Q9PW68	97	1	28	Typhlonectes natans	Metazoa
Q9SLP4	314	1	26	Tulipa saxatilis subsp. bakeri	Viridiplantae
Q9TW98	131	1	23	Pinctada fucata	Metazoa
A0A1S6EK92	79	1	20	Moringa oleifera	Viridiplantae
A4LAR6	107	1	24	Grifola frondosa	Fungi
A7L035	456	1	20	Chironex fleckeri	Metazoa
B2KTG1	83	1	24	Bungarus fasciatus	Metazoa
C0HL82	81	1	31	Stellaria media	Viridiplantae
C0HL83	81	1	31	Stellaria media	Viridiplantae
C0STK6	167	1	19	Elaphe climacophora	Metazoa
C9X4J8	86	1	20	Tityus discrepans	Metazoa
C9X4J9	80	1	20	Tityus discrepans	Metazoa
F0UZ12	170	1	15	Cavia porcellus	Metazoa
F2QXM5	587	1	19	Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1)	Fungi
F5CPD8	81	1	21	Micrurus altirostris	Metazoa
F5CPE2	82	1	21	Micrurus altirostris	Metazoa
O80327	244	1	22	Pyrus pyrifolia	Viridiplantae
P01364	108	1	23	Aplysia californica	Metazoa
P01543	136	1	27	Triticum aestivum	Viridiplantae
P01545	127	1	18	Hordeum vulgare	Viridiplantae
P02224	162	1	15	Chironomus thummi thummi	Metazoa
P02226	161	1	16	Chironomus thummi thummi	Metazoa
P02739	129	1	18	Neovison vison	Metazoa
P02755	180	1	18	Bubalus bubalis	Metazoa
P07596	203	1	22	Hordeum vulgare	Viridiplantae
P08299	168	1	30	Nicotiana tabacum	Viridiplantae
P08376	63	1	23	Sarcophaga peregrina	Metazoa
P09585	210	1	23	Cyprinus carpio	Metazoa
P09989	289	1	23	Trichosanthes kirilowii	Viridiplantae
P0C293	80	1	22	Androctonus crassicauda	Metazoa
P0DPU0	210	1	23	Scolopendra dehaani	Metazoa
P0DPZ2	101	1	23	Scolopendra dehaani	Metazoa
P0DUS9	59	1	19	Doratifera vulnerans	Metazoa
P10562	445	1	26	Canavalia gladiata	Viridiplantae
P11839	222	1	15	Ovis aries	Metazoa
P14214	77	1	23	Tachypleus tridentatus	Metazoa
P14612	89	1	21	Pseudechis australis	Metazoa
